,,surname_score,given_name_score,age_score,city_score,years_since_census,is_cambridge,cardinal_prefix,is_match
244,239810,1.0,0.16666666666666666,1.0,1.0,0,0,0,1
245,246955,1.0,0.375,0.75,1.0,0,0,0,0
254,1726104,1.0,1.0,1.0,0.576923076923077,0,0,0,1
269,405783,1.0,0.5,0.5,1.0,0,0,0,0
269,730695,1.0,0.2,1.0,0.8375000000000001,0,0,0,0
269,985314,1.0,0.75,0.5,1.0,0,0,0,1
269,2743717,1.0,0.75,1.0,0.5396825396825397,0,0,0,0
269,3014465,1.0,0.16666666666666666,1.0,0.7777777777777777,0,0,0,0
1426,157087,1.0,0.9090909090909092,1.0,0.6,6,0,0,1
1426,780001,1.0,0.8181818181818181,1.0,0.6,6,0,0,0
1427,775788,1.0,0.875,1.0,0.4513888888888888,6,0,0,0
1427,1717784,1.0,1.0,1.0,0.875,6,0,0,1
1427,3359680,1.0,0.5,1.0,0.5845959595959597,6,0,0,0
556,1486470,1.0,0.4285714285714286,1.0,0.8433333333333334,0,0,0,0
276,603324,1.0,0.23076923076923075,1.0,1.0,0,0,0,0
276,894389,1.0,0.30000000000000004,1.0,1.0,0,0,0,0
276,1077292,1.0,0.25,1.0,0.8375000000000001,0,0,0,0
283,1113698,1.0,0.8333333333333334,1.0,1.0,0,0,0,1
286,1623838,1.0,1.0,1.0,0.9090909090909092,0,0,0,1
563,69,1.0,0.375,1.0,0.7222222222222222,6,0,0,0
563,238185,1.0,0.875,1.0,0.4166666666666667,6,0,0,0
1001,295202,1.0,0.625,1.0,0.6309523809523809,6,0,0,0
291,496663,1.0,0.75,1.0,0.0,0,0,0,1
1008,2462423,1.0,1.0,1.0,0.0,6,1,0,1
1020,879150,1.0,0.7142857142857143,1.0,0.6,6,0,0,1
315,1761486,1.0,0.9,1.0,0.29202279202279197,0,0,0,1
321,1773647,1.0,0.6666666666666667,1.0,1.0,0,0,0,1
327,2666020,1.0,0.4,1.0,0.5793650793650794,0,0,0,0
625,3023678,1.0,1.0,0.75,0.5740740740740741,6,0,0,1
332,1910145,1.0,0.18181818181818174,0.75,1.0,0,0,0,0
340,963382,1.0,0.25,1.0,0.7962962962962963,0,0,0,0
647,659880,1.0,1.0,1.0,0.6666666666666666,6,0,0,1
345,1081781,1.0,0.125,1.0,0.8333333333333334,0,0,0,0
345,1086170,1.0,0.2,1.0,0.8333333333333334,0,0,0,0
659,435382,1.0,0.75,1.0,0.5694444444444444,6,0,0,1
659,2620273,1.0,0.4,0.75,1.0,6,1,0,0
659,2620603,1.0,0.33333333333333337,0.75,1.0,6,1,0,0
659,3024198,1.0,0.625,1.0,0.5462962962962963,6,0,0,0
660,1468511,1.0,1.0,0.75,0.92,6,0,0,1
660,2050506,1.0,0.7777777777777778,1.0,0.4518518518518519,6,0,0,1
660,2736951,1.0,0.7,1.0,0.4638888888888889,6,0,0,0
660,3199324,1.0,0.8888888888888888,1.0,0.0,6,0,0,0
660,3845020,1.0,0.7777777777777778,1.0,0.487037037037037,6,0,0,1
346,586895,1.0,1.0,1.0,0.9703703703703704,0,0,0,1
347,2172159,1.0,0.7777777777777778,1.0,0.671957671957672,0,1,0,1
349,3266329,1.0,1.0,1.0,0.9692307692307692,0,0,1,1
1107,3842148,1.0,0.8888888888888888,0.75,1.0,6,0,0,1
360,2140308,1.0,0.875,0.75,0.9090909090909092,0,0,0,1
367,1785416,1.0,0.2857142857142857,1.0,1.0,0,0,0,0
371,770184,1.0,0.6666666666666667,0.5,1.0,0,0,0,0
372,1272579,1.0,0.125,1.0,0.9166666666666666,0,0,0,0
376,672416,1.0,0.8888888888888888,1.0,0.6666666666666666,0,0,0,0
394,1248532,1.0,1.0,0.75,0.4365079365079365,0,0,0,1
1170,45809,1.0,0.875,1.0,0.6203703703703703,6,0,0,1
1170,152657,1.0,0.5,1.0,0.6203703703703703,6,0,0,0
1170,872737,1.0,0.375,1.0,0.6481481481481481,6,0,0,0
1172,819830,1.0,1.0,1.0,0.7321428571428571,6,0,1,1
1182,408674,1.0,1.0,1.0,0.6,6,0,0,1
1182,712362,1.0,0.6666666666666667,1.0,0.6,6,0,0,1
1182,762627,1.0,0.8333333333333334,0.75,0.5472222222222222,6,0,0,0
1182,1424729,1.0,0.8333333333333334,0.5,0.8962962962962964,6,0,0,0
1182,1537073,1.0,0.8333333333333334,1.0,0.4095238095238096,6,0,0,0
1182,2399200,1.0,1.0,1.0,0.4606060606060606,6,0,0,1
1182,3368123,1.0,1.0,0.75,0.5242424242424243,6,0,0,1
412,334354,1.0,1.0,1.0,0.7333333333333334,0,0,0,1
412,1914974,1.0,0.875,1.0,0.5518518518518518,0,0,0,0
773,862276,1.0,0.375,1.0,0.7967171717171718,6,0,0,0
773,1759936,1.0,0.25,1.0,0.9636363636363636,6,0,0,0
773,1772711,1.0,0.0,1.0,0.9636363636363636,6,0,0,0
773,1851117,1.0,0.75,1.0,0.9636363636363636,6,0,0,1
1209,47616,1.0,0.6,1.0,0.6666666666666666,6,0,0,0
1209,450916,1.0,0.30000000000000004,1.0,0.7777777777777777,6,0,0,0
1209,1191100,1.0,0.6,1.0,0.5138888888888888,6,0,0,0
1209,1253957,1.0,0.7,1.0,0.5138888888888888,6,0,0,0
1209,1407164,1.0,0.7,1.0,0.35185185185185186,6,0,0,0
1209,1967166,1.0,0.9,0.75,1.0,6,0,0,1
1209,1976094,1.0,0.30000000000000004,1.0,1.0,6,0,0,0
1209,3412769,1.0,0.2,1.0,0.8194444444444445,6,0,0,0
778,248714,1.0,0.4444444444444444,1.0,0.6944444444444445,6,0,0,0
778,1373756,1.0,0.33333333333333337,1.0,0.8083333333333333,6,0,0,0
778,1373986,1.0,0.2222222222222222,1.0,0.8083333333333333,6,0,0,0
778,1374787,1.0,0.4444444444444444,1.0,0.8083333333333333,6,0,0,0
778,1495158,1.0,0.8888888888888888,1.0,0.9666666666666668,6,0,0,1
778,1838816,1.0,0.33333333333333337,0.75,0.9666666666666668,6,0,0,0
419,602196,1.0,0.875,0.5,1.0,0,0,0,0
432,1601429,1.0,1.0,1.0,0.4191919191919192,0,0,1,0
